   n        time         Cl         Cd
       0    90.00120   0.6398921   0.3323096
       1    90.20110   0.6348948   0.3295637
       2    90.40110   0.6340471   0.3296640
       3    90.60110   0.6335994   0.3299649
       4    90.80110   0.6280214   0.3286344
       5    91.00100   0.6178254   0.3250525
       6    91.20090   0.6103156   0.3212575
       7    91.40090   0.6095860   0.3207532
       8    91.60100   0.6040868   0.3189109
       9    91.80090   0.6016566   0.3174034
      10    92.00090   0.5915016   0.3137887
      11    92.20090   0.5821202   0.3107980
      12    92.40090   0.5707249   0.3077537
      13    92.60080   0.5628133   0.3041764
      14    92.80080   0.5521301   0.3011705
      15    93.00080   0.5466448   0.3002916
      16    93.20070   0.5435341   0.2990113
      17    93.40080   0.5369018   0.2977229
      18    93.60070   0.5328960   0.2962423
      19    93.80080   0.5347868   0.2975520
      20    94.00070   0.5380009   0.2984302
      21    94.20070   0.5504569   0.3030595
      22    94.40060   0.5597960   0.3059031
      23    94.60060   0.5722324   0.3089324
      24    94.80060   0.5793165   0.3091314
      25    95.00060   0.5852374   0.3089333
      26    95.20060   0.5883299   0.3062073
      27    95.40050   0.5923806   0.3042509
      28    95.60060   0.5969370   0.3030175
      29    95.80050   0.5957489   0.3010230
      30    96.00050   0.5996877   0.3029103
      31    96.20050   0.6021206   0.3045069
      32    96.40050   0.5996309   0.3034900
      33    96.60040   0.5905486   0.2999783
      34    96.80050   0.5848166   0.2977427
      35    97.00040   0.5796053   0.2977021
      36    97.20040   0.5706004   0.2942612
      37    97.40030   0.5690364   0.2933129
      38    97.60030   0.5665172   0.2926104
      39    97.80030   0.5679430   0.2910963
      40    98.00020   0.5773092   0.2931798
      41    98.20030   0.5857610   0.2961506
      42    98.40020   0.6000985   0.3019167
      43    98.60020   0.6170798   0.3085048
      44    98.80020   0.6305921   0.3128491
      45    99.00020   0.6381054   0.3126342
      46    99.20010   0.6350975   0.3084365
      47    99.40020   0.6250389   0.3007823
      48    99.60020   0.6235150   0.2987811
      49    99.80020   0.6211222   0.2973826
      50   100.00010   0.6202046   0.2998359
      51   100.20430   0.6194780   0.3046279
      52   100.40830   0.6206647   0.3105681
      53   100.61250   0.6212993   0.3161980
      54   100.81650   0.6177734   0.3191308
      55   101.02060   0.6196295   0.3252104
