"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"$C_p$"	"vtkValidPointMask"	"Time"	"Point Coordinates:0"	"Point Coordinates:1"	"Point Coordinates:2"
8.38768e-01	-2.29536e-01	-8.10876e-02	-3.54386e-02	5.74233e-01	2.15263e-01	-8.75327e-01	1	0.00000e+00	-4.34565e-01	9.44167e-02	2.64000e-02
8.74746e-01	-2.64541e-01	4.71731e-02	-1.64651e-02	6.17376e-01	2.30379e-01	-6.05686e-01	1	1.00000e+00	-4.34565e-01	9.44167e-02	2.64000e-02
8.99235e-01	-1.49295e-01	1.00714e-01	2.07522e-02	6.47645e-01	2.51749e-01	-4.16507e-01	1	2.00000e+00	-4.34565e-01	9.44167e-02	2.64000e-02
9.08349e-01	-9.23823e-02	6.59643e-02	2.04847e-02	6.55904e-01	2.59432e-01	-3.64885e-01	1	3.00000e+00	-4.34565e-01	9.44167e-02	2.64000e-02
9.02198e-01	-9.79478e-02	2.17111e-02	2.31918e-02	6.50152e-01	2.57710e-01	-4.00837e-01	1	4.00000e+00	-4.34565e-01	9.44167e-02	2.64000e-02
8.98161e-01	-1.07639e-01	2.12470e-02	3.47935e-02	6.46449e-01	2.55630e-01	-4.23979e-01	1	5.00000e+00	-4.34565e-01	9.44167e-02	2.64000e-02
9.06934e-01	-7.30382e-02	3.41207e-02	3.59016e-02	6.55716e-01	2.60569e-01	-3.66063e-01	1	6.00000e+00	-4.34565e-01	9.44167e-02	2.64000e-02
9.16799e-01	-2.67196e-02	1.32267e-02	2.91847e-02	6.65862e-01	2.65965e-01	-3.02650e-01	1	7.00000e+00	-4.34565e-01	9.44167e-02	2.64000e-02
9.14343e-01	-1.48236e-02	-5.06250e-02	4.01513e-03	6.64648e-01	2.65247e-01	-3.10235e-01	1	8.00000e+00	-4.34565e-01	9.44167e-02	2.64000e-02
8.94889e-01	-7.12987e-02	-1.14277e-01	-3.61574e-02	6.44016e-01	2.53260e-01	-4.39183e-01	1	9.00000e+00	-4.34565e-01	9.44167e-02	2.64000e-02
8.66936e-01	-1.84135e-01	-1.04431e-01	-2.79909e-02	6.13444e-01	2.34859e-01	-6.30264e-01	1	1.00000e+01	-4.34565e-01	9.44167e-02	2.64000e-02
8.65018e-01	-2.36208e-01	-1.36105e-02	2.81542e-02	6.11777e-01	2.31585e-01	-6.40678e-01	1	1.10000e+01	-4.34565e-01	9.44167e-02	2.64000e-02
8.89502e-01	-1.75659e-01	6.66664e-02	5.88674e-02	6.35307e-01	2.45407e-01	-4.93616e-01	1	1.20000e+01	-4.34565e-01	9.44167e-02	2.64000e-02
9.11255e-01	-1.10837e-01	8.65111e-02	5.53540e-02	6.56354e-01	2.57530e-01	-3.62074e-01	1	1.30000e+01	-4.34565e-01	9.44167e-02	2.64000e-02
9.19508e-01	-7.93805e-02	5.85350e-02	5.56835e-02	6.65979e-01	2.63601e-01	-3.01915e-01	1	1.40000e+01	-4.34565e-01	9.44167e-02	2.64000e-02
9.15473e-01	-7.55315e-02	7.07984e-03	5.62275e-02	6.63299e-01	2.63372e-01	-3.18668e-01	1	1.50000e+01	-4.34565e-01	9.44167e-02	2.64000e-02
9.05522e-01	-9.04831e-02	-4.02383e-02	5.67033e-02	6.53395e-01	2.58482e-01	-3.80566e-01	1	1.60000e+01	-4.34565e-01	9.44167e-02	2.64000e-02
8.98608e-01	-1.16183e-01	-5.82605e-02	4.81483e-02	6.44279e-01	2.53436e-01	-4.37543e-01	1	1.70000e+01	-4.34565e-01	9.44167e-02	2.64000e-02
9.01199e-01	-1.26347e-01	-4.07807e-02	2.74959e-02	6.44537e-01	2.53735e-01	-4.35929e-01	1	1.80000e+01	-4.34565e-01	9.44167e-02	2.64000e-02
9.09703e-01	-9.59597e-02	-1.54343e-02	7.70475e-03	6.54460e-01	2.59694e-01	-3.73909e-01	1	1.90000e+01	-4.34565e-01	9.44167e-02	2.64000e-02
9.16267e-01	-5.13057e-02	-1.89441e-02	-2.99552e-03	6.62525e-01	2.64355e-01	-3.23501e-01	1	2.00000e+01	-4.34565e-01	9.44167e-02	2.64000e-02
9.13876e-01	-3.89876e-02	-5.58361e-02	-7.93633e-03	6.59460e-01	2.62755e-01	-3.42661e-01	1	2.10000e+01	-4.34565e-01	9.44167e-02	2.64000e-02
9.02968e-01	-7.49710e-02	-9.33008e-02	-4.42549e-03	6.46231e-01	2.55315e-01	-4.25343e-01	1	2.20000e+01	-4.34565e-01	9.44167e-02	2.64000e-02
8.89357e-01	-1.32893e-01	-8.07029e-02	2.20777e-02	6.32117e-01	2.47301e-01	-5.13553e-01	1	2.30000e+01	-4.34565e-01	9.44167e-02	2.64000e-02
8.89388e-01	-1.43985e-01	-1.81279e-02	5.44966e-02	6.34535e-01	2.48410e-01	-4.98441e-01	1	2.40000e+01	-4.34565e-01	9.44167e-02	2.64000e-02
9.04993e-01	-9.56561e-02	2.37382e-02	5.03953e-02	6.52295e-01	2.58210e-01	-3.87441e-01	1	2.50000e+01	-4.34565e-01	9.44167e-02	2.64000e-02
9.18192e-01	-3.60179e-02	1.29061e-02	3.76213e-02	6.65909e-01	2.65736e-01	-3.02356e-01	1	2.60000e+01	-4.34565e-01	9.44167e-02	2.64000e-02
9.17355e-01	-7.59049e-04	-4.05639e-02	3.37760e-02	6.65360e-01	2.65536e-01	-3.05785e-01	1	2.70000e+01	-4.34565e-01	9.44167e-02	2.64000e-02
9.04145e-01	-1.99286e-02	-1.11973e-01	2.59036e-02	6.50982e-01	2.57383e-01	-3.95650e-01	1	2.80000e+01	-4.34565e-01	9.44167e-02	2.64000e-02
8.84664e-01	-9.95660e-02	-1.36781e-01	2.11039e-02	6.28632e-01	2.44881e-01	-5.35336e-01	1	2.90000e+01	-4.34565e-01	9.44167e-02	2.64000e-02
8.82272e-01	-1.66042e-01	-8.53858e-02	4.18122e-02	6.26244e-01	2.42199e-01	-5.50263e-01	1	3.00000e+01	-4.34565e-01	9.44167e-02	2.64000e-02
8.97097e-01	-1.46372e-01	-1.44946e-02	5.59978e-02	6.44961e-01	2.52462e-01	-4.33278e-01	1	3.10000e+01	-4.34565e-01	9.44167e-02	2.64000e-02
9.12079e-01	-8.51835e-02	1.70308e-02	4.16617e-02	6.60876e-01	2.62315e-01	-3.33813e-01	1	3.20000e+01	-4.34565e-01	9.44167e-02	2.64000e-02
9.15350e-01	-4.81123e-02	-2.25955e-02	2.41208e-02	6.64447e-01	2.65034e-01	-3.11490e-01	1	3.30000e+01	-4.34565e-01	9.44167e-02	2.64000e-02
9.01070e-01	-7.10905e-02	-9.48238e-02	4.44757e-03	6.49891e-01	2.56834e-01	-4.02468e-01	1	3.40000e+01	-4.34565e-01	9.44167e-02	2.64000e-02
8.80308e-01	-1.51271e-01	-1.09337e-01	5.60925e-03	6.28194e-01	2.43356e-01	-5.38072e-01	1	3.50000e+01	-4.34565e-01	9.44167e-02	2.64000e-02
8.85730e-01	-1.79919e-01	-4.03452e-02	2.79945e-02	6.33268e-01	2.45453e-01	-5.06358e-01	1	3.60000e+01	-4.34565e-01	9.44167e-02	2.64000e-02
