f	Sk
0.34843 0.00080164486
0.69686 2.0214425e-05
1.0453 2.5272018e-05
1.39373 5.6590068e-05
1.74216 0.00011544943
2.09059 0.00011949079
2.43902 8.7537095e-05
2.78746 2.3744874e-05
3.13589 3.2276671e-05
3.48432 5.5550105e-05
3.83275 2.0343818e-05
4.18118 3.0814599e-05
4.52962 5.2754285e-05
4.87805 1.9873189e-05
5.22648 7.9183407e-06
5.57491 1.4330777e-05
5.92334 2.7070776e-05
6.27178 2.1782496e-05
6.62021 6.4908809e-06
6.96864 8.8261619e-06
7.31707 8.0701543e-06
7.66551 6.2118992e-06
8.01394 6.5665963e-06
8.36237 4.8326439e-06
8.7108 1.203454e-05
9.05923 2.0446876e-05
9.40767 3.4999246e-05
9.7561 3.3776577e-05
10.10453 1.3190471e-05
10.45296 1.5036904e-05
10.80139 1.8206499e-06
11.14983 5.1515729e-06
11.49826 8.2123699e-06
11.84669 1.8036055e-05
12.19512 1.0202434e-05
12.54355 7.8837093e-06
12.89199 1.0029718e-05
13.24042 1.1724998e-05
13.58885 1.5700619e-05
13.93728 8.3265775e-06
14.28571 5.9120133e-06
14.63415 6.037513e-06
14.98258 1.1141335e-05
15.33101 1.4319264e-05
15.67944 6.6880662e-06
16.02787 3.1078014e-06
16.37631 3.3016636e-06
16.72474 6.0234084e-06
17.07317 1.030309e-05
17.4216 7.9535822e-06
17.77003 8.8613206e-06
18.11847 8.27592e-06
18.4669 3.4687591e-06
18.81533 1.6157817e-06
19.16376 5.7539765e-06
19.5122 1.6141009e-05
19.86063 1.1391622e-05
20.20906 2.7230128e-06
20.55749 1.3371833e-06
20.90592 1.7942594e-06
21.25436 3.4682779e-06
21.60279 2.8382821e-06
21.95122 1.5812225e-06
22.29965 1.8484409e-06
22.64808 2.2932274e-06
22.99652 1.330138e-06
23.34495 3.8226447e-06
23.69338 8.0011882e-06
24.04181 5.7894229e-06
24.39024 3.1700372e-06
24.73868 1.785762e-06
25.08711 1.4300243e-06
25.43554 2.5848361e-06
25.78397 2.8339435e-06
26.1324 1.0921294e-06
26.48084 2.0543456e-06
26.82927 2.347949e-06
27.1777 2.3360678e-06
